area_id,death_rate_2005,death_rate_2017,ideath_rate_12_16,ideath_rate_13_17,life_ex65_5_9,life_ex65_13_17,life_ex_13_17,death_per_hosp_2005,death_per_hosp_2017,diabd_14_16,bmi_14_16,bmi_17_18,cancerm_11_15,cancerf_11_15,travel_time,income15,academic,jews_share,bagrut_zakaim_15_16
111.0,5.137745294669263,4.708797864210964,3.5,3.6,20.10223051,21.4032365,83.08584044,38.407697802229144,41.5185620829351,53.060171976628816,29.973101091390145,29.937335888978332,291.0264336319039,296.9684524160622,12.080696725829567,7236.965029213979,0.15388612060412304,61.5683607099548,32.7871899459817
112.0,4.545868522,4.87,1.9,1.9,21.69576309,20.178721489999997,82.51951598000001,42.577564080002716,34.75021656716717,55.25,25.0,24.5,280.28033589999995,313.9537553,29.0,6569.0,0.10099999999999999,98.1,27.2
211.0,6.172448283,5.19,2.5,2.5,,,,35.89279516748953,30.819374508217205,58.43,30.0,33.7,373.3661027,351.2500847,32.0,7221.0,0.132,89.1,47.8
212.0,5.693113989659575,5.1,4.5,3.5,,,,29.675453486360134,28.268889061039644,47.19,27.0,28.1,334.7842988,314.1698401,5.0,5862.0,0.135,91.9,28.1
213.0,4.958987809929411,,,,,,,25.328239916550107,,,,,,,,,,,
221.0,5.941124342999999,5.47,4.1,4.6,,,,34.962354961878965,29.412126039496588,55.54,29.0,29.099999999999998,382.6412531,315.0045825,13.0,6227.0,0.086,92.3,36.7
222.0,6.024755840149585,5.35,4.0,4.1,,,,38.85366450609471,27.63517138303559,82.43,33.0,36.2,260.3871684,244.2021963,25.0,6067.457009000002,,,45.0
231.0,6.109924095,5.99,3.8,3.7,,,,42.472862671970454,38.6546656246909,64.6,30.0,27.5,,,26.0,6990.0,0.11699999999999999,97.4,31.3
232.0,3.7654527399999997,,,,,,,32.69181726348028,,,,,,,,,,,
233.0,7.698291985000001,,,,,,,54.21392274343238,,,,,,,,,,,
234.0,5.630242964989154,5.48,2.0,1.9,,,,39.515543941033584,36.08434649091346,58.22,34.0,27.1,368.3663305,338.567922,6.0,7446.0,0.146,90.0,44.6
235.0,5.459903902923077,4.85,,2.9,,,,42.380240989951304,32.569286501638864,58.51,29.0,38.3,323.6142470000001,384.4025955,20.0,10779.0,0.358,91.6,64.2
237.0,6.352598429466177,5.715556769959089,4.8980687706076305,4.906358926048045,17.01261097,19.0258918051938,80.04868334697674,38.67897184855774,33.5939722128008,80.43205764611689,34.04363490792634,33.93477343501878,357.28941119901657,292.33267533558694,9.10300250208507,6119.722604875101,0.13939356814701379,71.06202143950995,46.277301841473175
241.0,6.878336115044209,5.481954576382254,4.699812382739212,4.699363057324841,,,,40.911451678293865,31.087886007616365,85.65243196294152,39.734800231615516,41.136086325680104,322.69542545920126,236.77661705951448,28.536189924724958,5735.170874636942,,,49.53277359583092
242.0,7.741920254782784,5.104767354726306,3.4812154696132596,3.0833333333333335,,,,37.720644411384,31.891626545456973,71.10393646408839,34.66988950276243,34.292096401989724,423.8319884,378.64013090000003,29.16988950276243,7214.717393991713,0.2,81.7,57.91091160220994
243.0,5.36429644462454,4.923876868901676,5.196286472148541,6.176127320954907,,,,32.65598400671475,29.58828211113232,63.324705882352944,31.71602434077079,32.600940657620846,333.5662723000001,369.2646504,20.06288032454361,7029.088279095335,0.162,66.7,54.80872210953347
244.0,5.8299146675,,,,,,,33.97692673628463,,,,,,,,,,,
245.0,5.816881047639903,5.455628802850099,3.892105263157895,3.0723684210526314,19.35641197,19.60926299,81.45666137999999,31.316512754555063,30.7319323649163,64.1828947368421,35.578947368421055,33.587423942998015,388.1002987,348.88632400000006,6.578947368421052,8561.078490855263,0.20600000000000002,87.3,56.69736842105263
246.0,7.12214573661325,6.4917709012154265,3.713509544787078,3.287518355359765,,,,35.033523310442305,33.70442591599912,77.03732745961821,38.19236417033774,33.45707228287047,394.59003930000006,327.2294476,16.19236417033774,6392.239827707783,0.115,60.8,47.03098384728341
291.0,6.469682712000001,4.51,,,,,,36.47455484960955,25.940933792526664,88.99,46.0,44.0,,,,4681.530462,,,56.8
292.0,6.1976898228124995,,,,,,,42.56404739778446,,,,,,,,,,,
293.0,5.342068953999999,,,,,,,36.474655157648385,,,,,,,,,,,
311.0,5.829689340193902,5.112954895904868,2.481440860215054,2.223963890028724,19.33767752166038,21.01726644174896,82.69983254948245,39.60196388117044,33.144560954354986,53.93969030602895,33.32655305112699,32.13145472561771,369.0999073230288,350.07749158381307,10.024518061014412,9049.934845988271,0.27165689426896167,83.99402307546814,57.193109767271395
321.0,7.000132412469879,6.790000000000001,4.5,6.4,,,,43.129645848907735,35.239503542012805,99.91,42.0,39.0,,,17.0,5489.98502,,,31.6
322.0,4.355883169,4.36,,,,,,37.66979948109182,34.07430645436037,44.24,20.0,25.1,360.0737033000001,314.8070142,18.0,13491.8326,0.507,96.3,67.3
323.0,7.255162372711787,5.516864487879811,5.1256830601092895,4.628324225865209,,17.52133551,78.98064507,44.443320300230475,33.16771637511963,99.584927140255,37.38342440801457,41.7850902701446,305.7080609130323,198.64983036464517,23.958105646630237,5734.651062653005,,,42.056284153005464
324.0,6.5730178808667015,5.595801463896044,3.530793319415449,3.304070981210856,18.53694696,20.2486809,81.90993426,41.151616166948834,32.27855905592156,69.95488394584139,32.62137330754352,36.50981009984343,338.26869934173965,323.04846879161454,10.020309477756287,8388.278474047389,0.2707964655697745,93.77909811090798,49.78747582205029
